,0.0,0.1,0.5,1.0,2.0,4.0,6.0,8.0,10.0,14.0,18.0,22.0,26.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0,120.0,140.0,160.0
Pu238,9.159021284369847e+30,2.169721295789997e+33,2.9195844363131923e+34,4.48580435636282e+35,6.89224501605933e+36,3.225549567392694e+37,9.293834155660848e+37,2.0661005639045757e+38,3.910849530780216e+38,1.0438378734691976e+39,2.193272765211097e+39,3.982422241699889e+39,6.551144038590591e+39,1.004024687851333e+40,2.370508880497021e+40,4.617394968958288e+40,7.959356148062697e+40,1.26032187767679e+41,1.8749599499677796e+41,2.658321925650315e+41,3.6269849260947856e+41,6.179708637159445e+41,9.622000466745659e+41,3.051669681583972e-05
Pu239,2.4946223678332663e+39,5.652633182991921e+40,1.8638544474030818e+41,5.294064614974751e+41,1.2691600657035113e+42,1.981100807341928e+42,2.6559333542511888e+42,3.29504818171991e+42,3.899526613587828e+42,5.012940909210705e+42,6.011141617764247e+42,6.908550399930473e+42,7.714345401889281e+42,8.437398377529891e+42,9.935724967147912e+42,1.1067821088064847e+43,1.190651601753824e+43,1.2498915889768732e+43,1.2899700778748557e+43,1.3132256546080834e+43,1.3224687181172497e+43,1.3081011892654027e+43,1.258295058005069e+43,0.000269192137182934
Pu240,8.61717979485863e+36,3.1078024645470922e+38,1.4735513013116803e+39,6.903422915160186e+39,3.049958897525752e+40,6.955160175784656e+40,1.2198469913818291e+41,1.8590030658183376e+41,2.5954997790916496e+41,4.303505821753914e+41,6.2429141534349506e+41,8.338452929520616e+41,1.0529014957150188e+42,1.2768078053441725e+42,1.837567471414136e+42,2.3743005642970152e+42,2.8693110764141247e+42,3.31411090904636e+42,3.7067793465205875e+42,4.0492950832034504e+42,4.344236905521866e+42,4.8022910647083375e+42,5.111592019203443e+42,0.00011935292663291446
Pu241,9.754464602061082e+33,1.8301784765488493e+36,1.7402271681284608e+37,1.6382250883934613e+38,1.478440827917282e+39,5.1581018101592654e+39,1.220624435739613e+40,2.343994028937999e+40,3.9500586926021093e+40,8.785013179212725e+40,1.5952848922153936e+41,2.5522130783038347e+41,3.744417115779204e+41,5.159420728466243e+41,9.532434548197208e+41,1.479764890053854e+42,2.0573816240809674e+42,2.6519802951532182e+42,3.233573270921408e+42,3.7788493266065276e+42,4.269338128324675e+42,5.045049272150469e+42,5.509759454313624e+42,0.00012780692060632758
Pu242,1.475568066354346e+30,1.4293744167906726e+33,2.705962930734696e+34,5.116782644503474e+35,9.387560083682866e+36,4.9838197754277175e+37,1.5952110320025766e+38,3.8774566278665675e+38,7.93211257918579e+38,2.4041573283366964e+39,5.572259510496884e+39,1.0918394497008223e+40,1.906940270454822e+40,3.063805413947744e+40,7.815755723853206e+40,1.5809492834492498e+41,2.7581849450443814e+41,4.346927766016711e+41,6.360300050902737e+41,8.796256199234583e+41,1.163934241842764e+42,1.8432875827104518e+42,2.646208860967424e+42,7.780854076546845e-05
Pu243,1.0273014116329583e+26,2.4632236074223453e+29,5.782742301682711e+30,1.2297494794013948e+32,2.4112096977712106e+33,1.3209604561848202e+34,4.299168434556606e+34,1.0591620374093068e+35,2.186180536416079e+35,6.769200551570868e+35,1.5950073808171594e+36,3.174000932740271e+36,5.630460708810549e+36,9.181735157547329e+36,2.425288671576667e+37,5.073632167291175e+37,9.142837063534726e+37,1.489043180090155e+38,2.237506440945203e+38,3.1712373132479317e+38,4.304984054306141e+38,7.193485437552473e+38,1.0866567330777804e+39,3.366495323243188e-08
Pu244,4.4307508139061705e+25,8.236797898441198e+25,1.8973728347127195e+27,8.13156300168762e+28,3.3036308284350846e+30,2.795025270153167e+31,1.247370928310243e+32,3.937712478301597e+32,9.988338970693982e+32,4.296967376260597e+33,1.3198488215698564e+34,3.281091026248653e+34,7.053766937245319e+34,1.365857609239252e+35,5.194390125246334e+35,1.46763120086196e+36,3.430753586502792e+36,7.018064028287012e+36,1.301427830954555e+37,2.238218983725976e+37,3.6274838177094795e+37,8.328540792894185e+37,1.674026615826248e+38,6.529180239731508e-09
Am241,1.4880383421580778e+29,1.4370567783882516e+32,2.7092432006398224e+33,5.097071580855525e+34,9.272884568460034e+35,4.886931725881942e+36,1.5518815193183214e+37,3.7408315726297023e+37,7.585733976045454e+37,2.2564675675318163e+38,5.126449700270989e+38,9.83300043144173e+38,1.6793699734885704e+39,2.6357887251280648e+39,6.316143645177162e+39,1.1937982270024614e+40,1.9367795062212371e+40,2.824638115318867e+40,3.805561965127799e+40,4.820753610683197e+40,5.810985620497947e+40,7.500187543774105e+40,8.533755986728254e+40,1.978890383685297e-06
Am242_m1,4.933757967613073e+25,2.742401524899439e+28,1.0275550100348888e+30,3.820886488583838e+31,1.3664378697934896e+33,1.0620463823607833e+34,4.422359043802407e+34,1.3098254456884849e+35,3.1281446248528415e+35,1.1954292409485195e+36,3.2714601259146984e+36,7.261173927828633e+36,1.3956207338565072e+37,2.416595835538774e+37,6.978827949906274e+37,1.5045530230317203e+38,2.6887154481982528e+38,4.217249215546543e+38,6.0066919678895185e+38,7.940763510276765e+38,9.88200733838437e+38,1.3296573441703238e+39,1.5405695196656334e+39,3.57977116407668e-08
Am243,1.0574455398226873e+26,3.659738412754732e+29,1.7616680662897347e+31,7.655972598129407e+32,3.0646546806695837e+34,2.550522925358679e+35,1.1187958401212351e+36,3.472424707894504e+36,8.662191180923205e+36,3.604293820461788e+37,1.0691467824372542e+38,2.5674339891096588e+38,5.330808103594576e+38,9.966461371685273e+38,3.4727823022972446e+39,8.993671526661282e+39,1.9275617641368828e+40,3.620721721940315e+40,6.166470122412144e+40,9.748816198759188e+40,1.4531138371306161e+41,2.8255211524381026e+41,4.806883714900959e+41,1.6104318329588238e-05
