,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70,Fission Density_bu_160,FD std dev_bu_160,Relative unc._bu_160
2B,4,0.9863052395686698,0.001417487160313029,0.0014371688433216915,0.9842403686738322,0.0013772494201299858,0.001399301902223026,0.9849200076784472,0.0016625020749777527,0.0016879564452106446,0.9872941138684704,0.0017003028078087146,0.001722184690382174,0.9889220376192296,0.0013401315147755911,0.0013551437462167163
2B,5,1.2326061276945748,0.0018109963774686727,0.0014692417446081495,1.23249543767974,0.001513524800996262,0.0012280165546458975,1.2316329718603674,0.0020119201116653505,0.001633538690204411,1.229780781502944,0.001880506211364941,0.0015291393715445205,1.2358237016588869,0.0017604003011722062,0.0014244752700641385
3T,1,1.2094906085675257,0.00182405513319006,0.001508118475884985,1.2119115429845315,0.0018166708352416552,0.0014990127338566346,1.2104620603821263,0.0017236846238191824,0.00142398897101743,1.208723529805781,0.0017057605823761102,0.0014112082211638535,1.21609228794154,0.0016467102588333825,0.0013540997465091586
3T,2,0.9720903564233347,0.0014621117805042345,0.0015040904076899415,0.9697699148013258,0.0015530728716015455,0.0016014859276385364,0.9694634367690532,0.0014820713586867855,0.0015287542598059285,0.9701570876382676,0.001388508952124498,0.0014312207474612784,0.9762351878951916,0.0015694566570673661,0.0016076624531955127
3T,3,0.4717707766842337,0.0008120879569283679,0.0017213612988833257,0.4705123424334037,0.0009084006233580447,0.0019306626871039407,0.4705855658589417,0.0007453659874242072,0.0015839117080944025,0.4700803795593099,0.0007910143282691348,0.0016827214294940225,0.4725595450738584,0.0007205778551523426,0.0015248403352845627
3T,4,0.9711123002101372,0.0013537435808885744,0.001394013422130108,0.9704934352229844,0.0014291354830986355,0.001472586450592808,0.9712002114858248,0.0014141656667747285,0.0014561010696354949,0.969793777597602,0.001360179179399818,0.0014025447582982939,0.9770977984203008,0.0013275730387999425,0.0013586900317923796
3T,5,1.2105027730796645,0.001718949196348095,0.001420029127215365,1.2098427488168952,0.00197729247659715,0.0016343384117735494,1.2084377262910202,0.0016250903708157226,0.0013447861941578965,1.2089876653337166,0.0018626038153888964,0.0015406309500062287,1.2145604869523807,0.001688348910701159,0.001390090430932448
3B,1,1.1903421265818062,0.00166081104668415,0.0013952384021334652,1.1897658736390346,0.0017775363427275234,0.0014940219602119918,1.1877796841839514,0.0017674992195605274,0.0014880699199488873,1.1853215778260735,0.0018919075985769226,0.001596113353514373,1.1992428658189602,0.0016800563137827332,0.0014009308386716368
3B,2,0.9563508000940898,0.0012812898361703453,0.001339769712164497,0.9531804467633042,0.0015246309359783676,0.001599519735382242,0.9536290142088164,0.001434696223023234,0.001504459492786655,0.9515163758065774,0.0016092736620152038,0.0016912726916035064,0.9624526944777078,0.0014069906964239158,0.0014618803651305116
3B,3,0.4644371068346687,0.0007639405672621643,0.0016448740981717324,0.4631749595772275,0.0007126172792396384,0.0015385488021418395,0.46319498283772903,0.0007216749446423488,0.0015580370500152265,0.4614394634318426,0.0007011640562506495,0.0015195147182165876,0.4667658468372409,0.0007330844152429543,0.00157056138577889
