,,Fission Density,FD std dev,Relative unc.,Fission Density_bu_1,FD std dev_bu_1,Relative unc._bu_1,Fission Density_bu_30,FD std dev_bu_30,Relative unc._bu_30,Fission Density_bu_70,FD std dev_bu_70,Relative unc._bu_70
3B,4,0.9694141671364612,0.0012515558913016713,0.0012910435330222422,0.971309159917538,0.0014695689513024473,0.0015129775481858016,0.9685721873328696,0.0013660043043035677,0.001410327822921589,0.9714963654169558,0.0013128700831814865,0.0013513895984757665
3B,5,1.208740117629834,0.0018873260407356077,0.0015613993555838813,1.2093634790148415,0.0016497926458527257,0.0013641826253895661,1.2094161597742985,0.001788111847150952,0.0014784917769617453,1.2107779069207965,0.0018026333293759808,0.0014888224496599608
4T,1,1.2069093155105703,0.0014597129799771755,0.0012094636781883313,1.2081659654773207,0.0015105971304582794,0.0012503225331806744,1.2066810267574246,0.0016917929999734128,0.00140202171282959,1.2074344332616138,0.0017579546525284268,0.0014559421233165482
4T,2,0.9705821534234862,0.0012461868760741536,0.0012839581602428405,0.9707812238294944,0.0012117942577225449,0.0012482670945594865,0.9677508673184788,0.0014350194905858856,0.001482839787643024,0.9707886128062964,0.0015141925578082893,0.0015597551700067373
4T,3,0.470127708273954,0.0006391731407593223,0.0013595734297516915,0.4700588458780529,0.0006125892494076883,0.0013032182135906704,0.4693236646606785,0.0007142865520398931,0.0015219487228634062,0.4701008712390987,0.0006986108559469466,0.0014860871329711385
4T,4,0.9685023409620412,0.0012827753609363373,0.0013244938155359744,0.968764688037524,0.0011912617282274253,0.0012296708818326405,0.967010493326156,0.0012874607105116127,0.001331382357685931,0.9685524069236816,0.0012637964256872922,0.0013048301946833886
4T,5,1.2068170889019816,0.0016434289129384585,0.0013617879031144035,1.2069650973877382,0.0016102354328943202,0.0013341193016926415,1.2020222061003014,0.0015140671115876673,0.0012595999507361245,1.2073696377300802,0.0016063576744288592,0.0013304605517900036
4B,1,1.2109644567037336,0.0014041326374682308,0.0011595159789332744,1.2100257551846303,0.0015765288456338713,0.0013028886690046682,1.2092981396936948,0.001638240745973156,0.0013547037675821685,1.2105263390412442,0.0015900839084796415,0.0013135475513395382
4B,2,0.9740090117171996,0.001408702414050792,0.0014462929984263885,0.9709447961534978,0.0013175293081233892,0.001356955939557968,0.9702612434428998,0.0013047353286377995,0.0013447258018964494,0.9732716000717828,0.0012907861360850913,0.0013262342556691169
4B,3,0.4717264502619632,0.0006692453792516495,0.0014187149753421679,0.4717749795375908,0.0007046796807475707,0.0014936775185455172,0.4695708205868804,0.000693151994383994,0.0014761394107020464,0.472269341972372,0.0007150070801657973,0.0015139815707275485
4B,4,0.9737446370106592,0.0013458789471977714,0.0013821682770233715,0.9733791789588117,0.0013334861867292812,0.0013699555276656555,0.9718514361879368,0.001295044051116992,0.001332553518876064,0.9716521305486892,0.0014158169382005724,0.001457123278679032
4B,5,1.213611462400271,0.001655282083291534,0.0013639308251239901,1.2111525528458804,0.0016134599796536358,0.0013321690780095721,1.2114877096350771,0.001716070053765974,0.0014164981122944177,1.2102858751540089,0.0018001247439819613,0.0014873549968125472
5T,1,1.2224252369970008,0.001681283600657571,0.0013753672206472092,1.2208780062653584,0.0017312979943386766,0.0014180761594966256,1.21815148033539,0.001657366005837267,0.0013605582167670553,1.2179037218206177,0.0015555995456873113,0.0012772762886066884
5T,2,0.979956198160456,0.0012095561036301668,0.0012342960898667804,0.979655639042022,0.0012059010538816436,0.0012309438192596538,0.9785370599817916,0.0013914373567281914,0.001421956728704872,0.9769877926284332,0.001398502826073332,0.0014314435007533495
5T,3,0.4750271070163767,0.0006074020962723952,0.0012786682850321105,0.4742177868407324,0.0005850856902236001,0.0012337911112982,0.4736259915811675,0.0006938063150155576,0.0014648822643777073,0.4739295956217568,0.0007071336710777299,0.0014920648079595634
5T,4,0.9805369920352976,0.001190017380550182,0.0012136384350783815,0.977463916740536,0.0013466471035714258,0.0013776949517092898,0.9764639856062824,0.0013691375369553182,0.0014021382837844515,0.976436706023118,0.001383398292193326,0.0014167823512367765
5T,5,1.2212511151672027,0.001463360642753931,0.001198247129177508,1.2192839567159943,0.0015954609059308461,0.0013085228401003833,1.2158528270916762,0.0017283552814697845,0.0014215168505254173,1.2150243151485212,0.0018209509670002774,0.0014986950831331225
5B,1,1.2442687216567676,0.0014932341610789722,0.0012000897676594348,1.2421099179058663,0.0015813317471784813,0.0012731012967391207,1.242122236646555,0.0014837115748776073,0.00119449723312521,1.2385631827793486,0.0016069523260741605,0.0012974326610194749
5B,2,0.9998336678148324,0.0014262874578812555,0.0014265247348576,0.9962883950927748,0.0013855653307028241,0.0013907271604561846,0.997348442392914,0.0013668550652552135,0.0013704889957773948,0.9962464598603752,0.0013517987787446065,0.001356891927057951
5B,3,0.4842254943066342,0.0007806140373761112,0.00161208785277586,0.4841401558498112,0.0007066740820903028,0.0014596477353750546,0.4826595245824854,0.0006157661065054853,0.0012757773858044989,0.4824505777751905,0.0006618432616796949,0.001371836395619567
5B,4,0.9991274049996846,0.0013885723733480391,0.0013897850928715914,0.9959660703911586,0.0014149147223902225,0.0014206455063620034,0.9952665832095421,0.0013611269957958768,0.00136760041857982,0.9958243100934928,0.0015888350443557017,0.00159549734652143
5B,5,1.246826973640251,0.0017500259233081922,0.0014035836249185365,1.2416366654304327,0.001507710646135292,0.0012142929474562678,1.2398566882131967,0.0016114592412788502,0.0012997141174446408,1.2399517845128971,0.0016217559158208268,0.001307918530443438
6T,1,1.2623377516818317,0.0014359038863326998,0.0011374957965248392,1.2608058870220733,0.0016510442618150446,0.0013095150322582046,1.2658163264957318,0.0016625178317723676,0.0013133957881352805,1.2593044381772718,0.0017808415863283789,0.0014141469944360591
6T,2,1.0133454829409234,0.0012349134872250047,0.00121865001424889,1.012634783561067,0.0012535468546277708,0.0012379061779998351,1.0134404155916803,0.0012822907771698822,0.0012652848233028462,1.0102004610584536,0.0012681189788055075,0.0012553141952408296
6T,3,0.4897624349774158,0.0007424295110105473,0.001515897214625664,0.4904418841211822,0.0007020978386051328,0.0014315617432699794,0.4908554360788368,0.0005946343049393173,0.0012114245075688893,0.4899041545547703,0.0006587299287926049,0.001344609803097639
6T,4,1.0112528403714385,0.0013727345798789836,0.0013574593069867384,1.010214866742274,0.0013677962414405914,0.00135396566262328,1.0116577802975102,0.00123487537209751,0.001220645356707834,1.0108119832421738,0.0013559365946097847,0.001341433043028067
6T,5,1.2556675986052641,0.0015719491719281607,0.0012518832003582856,1.257100807113276,0.0016846890990369885,0.0013401384276457498,1.2582571597830827,0.0015013139455716375,0.001193169404122808,1.2549964442195332,0.0017397392844863426,0.0013862503694727715
6B,1,1.3113420599046997,0.0017872464611126933,0.00136291400677149,1.3114979562655564,0.0015571153417637635,0.0011872800367890726,1.3121867694149705,0.0017473124139928975,0.0013316034384129062,1.3083820146915095,0.0016733147544383065,0.0012789191043969222
6B,2,1.050930016680562,0.0013740421636706153,0.0013074535334052276,1.05127797734247,0.001412615969888123,0.0013437130809674915,1.0542265374898734,0.0014691528443732706,0.0013935836294458512,1.0502359156923615,0.001254416663177132,0.0011944141734575562
6B,3,0.5079067189595425,0.0006351307773218617,0.0012504870552272676,0.5090889036772229,0.0006461991067550932,0.0012693246741138989,0.5099698525768743,0.0007775482002515191,0.0015246944428627949,0.5081593568155535,0.0007117525101026714,0.0014006482426358552
6B,4,1.049254753061521,0.0012535998371346155,0.001194752593187551,1.050144868267384,0.0014305346377477992,0.0013622259946934885,1.052290665463942,0.0016592713663531634,0.0015768184787818213,1.0460680998451068,0.0014296073156359471,0.0013666484197803485
6B,5,1.3049645341812242,0.0018068465592055614,0.001384594379294173,1.3061851431205822,0.0018393278181181429,0.0014081677684097983,1.3104065233952986,0.0017802140710065281,0.0013585204585169074,1.3059265507379083,0.0016128953238675546,0.0012350582220387466
